"Month","Month LY","Change","YTD","YTD LY","YTD Change","VehicleMake","VehicleModel"
9820,11739,-16.35,59321,56466,"5.06","FORD","F-SERIES"
6219,7137,-12.86,39784,36172,"9.99","RAM","PICKUP"
7235,2756,162.52,37908,18275,"107.43","TOYOTA","RAV4"
5469,5409,1.11,32865,24692,"33.10","GMC","SIERRA"
6041,1355,345.83,26716,14382,"85.76","HONDA","CR-V"
5192,1991,160.77,20572,13325,"54.39","TOYOTA","COROLLA"
5783,5095,13.5,20243,18193,"11.27","HONDA","CIVIC"
2784,1822,52.8,17463,9857,"77.16","NISSAN","ROGUE"
2728,2762,-1.23,15715,9155,"71.65","HYUNDAI","KONA"
221,5199,-95.75,15133,23548,"-35.74","CHEVROLET","SILVERADO"
2602,2909,-10.55,14127,8967,"57.54","MAZDA","CX-5"
3118,2529,23.29,13460,8923,"50.85","HYUNDAI","TUSCON"
3975,2040,94.85,13358,10208,"30.86","FORD","ESCAPE"
2856,2735,4.42,12486,9254,"34.93","HYUNDAI","ELANTRA"
2306,1118,106.26,10872,5059,"114.90","SUBARU","CROSSTREK"
2289,724,216.16,10403,4850,"114.49","TOYOTA","HIGHLANDER"
1758,1101,59.67,9628,5139,"87.35","NISSAN","KICKS"
1837,807,127.63,8803,4770,"84.55","VOLKSWAGEN","TIGUAN"
1612,301,435.55,8359,5752,"45.32","FORD","EXPLORER"
1717,1799,-4.56,8158,9406,"-13.27","JEEP","WRANGLER"
1444,1475,-2.1,8134,3276,"148.29","KIA","SELTOS"
1224,1095,11.78,7937,5569,"42.52","FORD","TRANSIT"
1405,1512,-7.08,7514,5042,"49.03","HYUNDAI","SANTA FE"
1704,1485,14.75,7486,5379,"39.17","KIA","FORTE"
1514,689,119.74,7349,5292,"38.87","TOYOTA","TACOMA"
1405,1156,21.54,7234,8285,"-12.69","JEEP","GRAND CHEROKEE"
208,1638,-87.3,7040,12309,"-42.81","CHRYSLER","GRAND CARAVAN"
792,1638,-51.65,7040,12309,"-42.81","DODGE","GRAND CARAVAN"
1358,736,84.51,6647,3325,"99.91","VOLKSWAGEN","ATLAS"
1081,315,243.17,6401,2100,"204.81","TESLA","MODEL 3"
1148,996,15.26,6384,4929,"29.52","NISSAN","QASHQAI"
898,1249,-28.1,6322,4247,"48.86","KIA","SPORTAGE"
1393,952,46.32,6222,3970,"56.73","FORD","RANGER"
1298,1410,-7.94,6209,5116,"21.36","MAZDA","3"
1241,588,111.05,6012,3572,"68.31","TOYOTA","CAMRY"
1271,881,44.27,5995,3235,"85.32","MAZDA","CX-30"
1616,307,426.38,5762,2850,"102.18","TOYOTA","SIENNA"
1116,1004,11.16,5732,4160,"37.79","SUBARU","FORESTER"
1110,1492,-25.6,5707,6812,"-16.22","VOLKSWAGEN","GOLF"
1268,771,64.46,5702,3252,"75.34","AUDI","Q5"
1022,868,17.74,5618,4694,"19.68","VOLKSWAGEN","JETTA"
1220,819,48.96,5543,2945,"88.22","HYUNDAI","VENUE"
1022,1704,-40.02,5136,5400,"-4.89","KIA","SORENTO"
998,588,69.73,5027,4064,"23.70","JEEP","CHEROKEE"
709,833,-14.89,5004,3569,"40.21","SUBARU","OUTBACK"
932,547,70.38,5004,2466,"102.92","NISSAN","SENTRA"
825,1207,-31.65,4969,5504,"-9.72","FORD","EDGE"
781,1005,-22.29,4926,6177,"-20.25","CHEVROLET","EQUINOX"
1016,276,268.12,4802,2480,"93.63","MITSUBISHI","OUTLANDER SPORT"
884,165,435.76,4799,393,"1,121.12","CHEVROLET","TRAILBLAZER"
885,1355,-34.69,4454,3783,"17.74","HONDA","HR-V"
930,436,113.3,4444,3591,"23.75","MITSUBISHI","OUTLANDER"
944,429,120.05,4429,2767,"60.07","LEXUS","RX"
873,874,-0.11,4417,4457,"-0.90","GMC","TERRAIN"
936,0,0.0,4284,0,"0.00","FORD","BRONCO SPORT"
590,1060,-44.34,4253,3788,"12.28","HONDA","PILOT"
843,468,80.13,4224,2377,"77.70","AUDI","Q3"
875,369,137.13,4173,2698,"54.67","TOYOTA","C-HR"
710,357,98.88,4108,2738,"50.04","TOYOTA","4RUNNER"
869,795,9.31,4037,2460,"64.11","HYUNDAI","PALISADE"
780,581,34.25,4035,1384,"191.55","BUICK","ENCORE GX"
749,289,159.17,3874,1435,"169.97","GMC","YUKON"
747,597,25.13,3806,3199,"18.97","MERCEDES-BENZ","GLC/GLK-CLASS"
680,468,45.3,3711,2713,"36.79","MERCEDES-BENZ","GLE-CLASS"
692,574,20.56,3691,2984,"23.69","NISSAN","MURANO"
699,333,109.91,3619,2216,"63.31","LEXUS","NX"
660,426,54.93,3612,2154,"67.69","CHEVROLET","TRAVERSE"
772,681,13.36,3487,2569,"35.73","MAZDA","CX-3"
632,294,114.97,3484,1669,"108.75","CHEVROLET","BOLT"
738,892,-17.26,3456,3061,"12.90","ACURA","RDX"
743,872,-14.79,3409,3562,"-4.30","KIA","SOUL"
526,675,-22.07,3335,2548,"30.89","HONDA","ACCORD"
452,782,-42.2,3295,3059,"7.71","CHEVROLET","COLORADO"
627,539,16.33,3285,4062,"-19.13","TOYOTA","TUNDRA"
