Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
Ford F-Series,"9,820","11,739",-16.35,"59,321","56,466",5.06
Ram Pickup,"6,219","7,137",-12.86,"39,784","36,172",9.99
Toyota RAV4,"7,235","2,756",162.52,"37,908","18,275",107.43
GMC Sierra,"5,469","5,409",1.11,"32,865","24,692",33.10
Honda CR-V,"6,041","1,355",345.83,"26,716","14,382",85.76
Toyota Corolla,"5,192","1,991",160.77,"20,572","13,325",54.39
Honda Civic,"5,783","5,095",13.50,"20,243","18,193",11.27
Nissan Rogue,"2,784","1,822",52.80,"17,463","9,857",77.16
Hyundai Kona,"2,728","2,762",-1.23,"15,715","9,155",71.65
Chevrolet Silverado,221,"5,199",-95.75,"15,133","23,548",-35.74
Mazda CX-5,"2,602","2,909",-10.55,"14,127","8,967",57.54
Hyundai Tuscon,"3,118","2,529",23.29,"13,460","8,923",50.85
Ford Escape,"3,975","2,040",94.85,"13,358","10,208",30.86
Hyundai Elantra,"2,856","2,735",4.42,"12,486","9,254",34.93
Subaru CrossTrek,"2,306","1,118",106.26,"10,872","5,059",114.90
Toyota Highlander,"2,289",724,216.16,"10,403","4,850",114.49
Nissan Kicks,"1,758","1,101",59.67,"9,628","5,139",87.35
Volkswagen Tiguan,"1,837",807,127.63,"8,803","4,770",84.55
Ford Explorer,"1,612",301,435.55,"8,359","5,752",45.32
Jeep Wrangler,"1,717","1,799",-4.56,"8,158","9,406",-13.27
Kia Seltos,"1,444","1,475",-2.10,"8,134","3,276",148.29
Ford Transit,"1,224","1,095",11.78,"7,937","5,569",42.52
Hyundai Santa Fe,"1,405","1,512",-7.08,"7,514","5,042",49.03
Kia Forte,"1,704","1,485",14.75,"7,486","5,379",39.17
Toyota Tacoma,"1,514",689,119.74,"7,349","5,292",38.87
Jeep Grand Cherokee,"1,405","1,156",21.54,"7,234","8,285",-12.69
Chrysler Grand Caravan,208,"1,638",-87.30,"7,040","12,309",-42.81
Dodge Grand Caravan,792,"1,638",-51.65,"7,040","12,309",-42.81
Volkswagen Atlas,"1,358",736,84.51,"6,647","3,325",99.91
Tesla Model 3,"1,081",315,243.17,"6,401","2,100",204.81
Nissan Qashqai,"1,148",996,15.26,"6,384","4,929",29.52
Kia Sportage,898,"1,249",-28.10,"6,322","4,247",48.86
Ford Ranger,"1,393",952,46.32,"6,222","3,970",56.73
Mazda 3,"1,298","1,410",-7.94,"6,209","5,116",21.36
Toyota Camry,"1,241",588,111.05,"6,012","3,572",68.31
Mazda CX-30,"1,271",881,44.27,"5,995","3,235",85.32
Toyota Sienna,"1,616",307,426.38,"5,762","2,850",102.18
Subaru Forester,"1,116","1,004",11.16,"5,732","4,160",37.79
Volkswagen Golf,"1,110","1,492",-25.60,"5,707","6,812",-16.22
Audi Q5,"1,268",771,64.46,"5,702","3,252",75.34
Volkswagen Jetta,"1,022",868,17.74,"5,618","4,694",19.68
Hyundai Venue,"1,220",819,48.96,"5,543","2,945",88.22
Kia Sorento,"1,022","1,704",-40.02,"5,136","5,400",-4.89
Jeep Cherokee,998,588,69.73,"5,027","4,064",23.70
Subaru Outback,709,833,-14.89,"5,004","3,569",40.21
Nissan Sentra,932,547,70.38,"5,004","2,466",102.92
Ford Edge,825,"1,207",-31.65,"4,969","5,504",-9.72
Chevrolet Equinox,781,"1,005",-22.29,"4,926","6,177",-20.25
Mitsubishi Outlander Sport,"1,016",276,268.12,"4,802","2,480",93.63
Chevrolet TrailBlazer,884,165,435.76,"4,799",393,"1,121.12"
Honda HR-V,885,"1,355",-34.69,"4,454","3,783",17.74
Mitsubishi Outlander,930,436,113.30,"4,444","3,591",23.75
Lexus RX,944,429,120.05,"4,429","2,767",60.07
GMC Terrain,873,874,-0.11,"4,417","4,457",-0.90
Ford Bronco Sport,936,0,0.00,"4,284",0,0.00
Honda Pilot,590,"1,060",-44.34,"4,253","3,788",12.28
Audi Q3,843,468,80.13,"4,224","2,377",77.70
Toyota C-HR,875,369,137.13,"4,173","2,698",54.67
Toyota 4Runner,710,357,98.88,"4,108","2,738",50.04
Hyundai Palisade,869,795,9.31,"4,037","2,460",64.11
Buick Encore GX,780,581,34.25,"4,035","1,384",191.55
GMC Yukon,749,289,159.17,"3,874","1,435",169.97
Mercedes-Benz GLC/GLK-Class,747,597,25.13,"3,806","3,199",18.97
Mercedes-Benz GLE-Class,680,468,45.30,"3,711","2,713",36.79
Nissan Murano,692,574,20.56,"3,691","2,984",23.69
Lexus NX,699,333,109.91,"3,619","2,216",63.31
Chevrolet Traverse,660,426,54.93,"3,612","2,154",67.69
Mazda CX-3,772,681,13.36,"3,487","2,569",35.73
Chevrolet Bolt,632,294,114.97,"3,484","1,669",108.75
Acura RDX,738,892,-17.26,"3,456","3,061",12.90
Kia Soul,743,872,-14.79,"3,409","3,562",-4.30
Honda Accord,526,675,-22.07,"3,335","2,548",30.89
Chevrolet Colorado,452,782,-42.20,"3,295","3,059",7.71
Toyota Tundra,627,539,16.33,"3,285","4,062",-19.13
Tesla Model Y,540,0,0.00,"3,199",0,0.00
Dodge Durango,415,151,174.83,"3,172","2,374",33.61
BMW X3,627,646,-2.94,"3,120","2,723",14.58
Chevrolet Spark,572,690,-17.10,"3,116","2,833",9.99
Toyota Prius Family,786,405,94.07,"3,107","2,688",15.59
Kia Rio,781,475,64.42,"2,993","1,334",124.36
GMC Canyon,438,539,-18.74,"2,944","1,987",48.16
Acura MDX,501,420,19.29,"2,926","1,182",147.55
Cadillac XT5,575,377,52.52,"2,884","1,540",87.27
Mazda CX-9,448,369,21.41,"2,840","1,418",100.28
Ford Mustang,650,678,-4.13,"2,659","2,210",20.32
Ford Expedition,525,"1,244",-57.80,"2,605","2,591",0.54
BMW X5,518,501,3.39,"2,544","2,105",20.86
Kia Telluride,485,269,80.30,"2,531","1,299",94.84
Mitsubishi Eclipse Cross,413,137,201.46,"2,432","1,564",55.50
Kia Niro,497,375,32.53,"2,339","1,232",89.85
BMW 3-Series,543,421,28.98,"2,329","1,760",32.33
Chrysler Pacifica,302,164,84.15,"2,328","1,064",118.80
Chevrolet Tahoe,397,210,89.05,"2,317","1,199",93.24
Toyota Venza,505,0,0.00,"2,297",0,0.00
Jeep Compass,376,318,18.24,"2,242","2,277",-1.54
GMC Acadia,397,209,89.95,"2,206","1,342",64.38
Ford Mustang Mach E,489,0,0.00,"2,113",0,0.00
Honda Odyssey,452,760,-40.53,"2,090","2,534",-17.52
Chevrolet Blazer,334,401,-16.71,"1,989","1,598",24.47
Audi A5,431,284,51.76,"1,842","1,148",60.45
Volvo XC40,289,184,57.07,"1,829",826,121.43
Buick Envision,414,195,112.31,"1,811",886,104.40
Cadillac XT4,294,298,-1.34,"1,805","1,344",34.30
